unique,ID,dates,year,site,department,country,region,livestock,clivestock,altitude,lon,lat,sex,age,rep,dc13,dn15,idistance,pca1,pca2,bartonella,hemoplasma,coinfection
D110 spring 2015,D110,4/24/15,2015,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,-10.6,8.74,3.690961934,2.95493822,-0.313002484,0,0,0
LAM2 spring 2014,LAM2,4/30/14,2014,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,SA,N,-8.08,9.58,6.305870281,NA,NA,NA,NA,NA
D189 spring 2016,D189,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,NA,NA,NA,NA,NA,1,1,1
D191 spring 2016,D191,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,NA,NA,NA,NA,NA,NA,1,NA
D159 spring 2016,D159,4/25/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,-13.86,10.91,4.111751452,NA,NA,0,1,0
D702 spring 2016,D702,4/29/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,-12.5,11.11,4.484829986,NA,NA,1,1,1
D194 spring 2016,D194,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,NA,NA,NA,NA,NA,1,0,0
D195 spring 2016,D195,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,NA,NA,NA,NA,NA,0,0,0
D161 spring 2016,D161,4/25/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,-12.03,11.52,5.020209159,1.750155206,0.52771803,1,1,1
D197 spring 2016,D197,4/29/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,-8.85,7.02,4.894946374,NA,NA,0,1,0
D707 spring 2016,D707,4/29/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,SA,N,-9.76,13.72,7.982906739,NA,NA,1,1,1
LA162 spring 2016,LA162,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,NA,NA,NA,NA,NA,NA,NA,NA
L316 spring 2016,L316,4/26/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,NA,NA,NA,NA,NA,NA,NA,NA
D187 spring 2016,D187,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,-11.16,8.91,3.332941644,NA,NA,0,0,0
D188 spring 2016,D188,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,SA,N,NA,NA,NA,NA,NA,0,1,0
D160 spring 2016,D160,4/25/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,-10.05,8.92,4.255643312,1.540005233,0.402868803,1,1,1
D703 spring 2016,D703,4/29/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,-8.58,9.79,5.963698517,NA,NA,0,1,0
D190 spring 2016,D190,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,NA,NA,NA,NA,NA,NA,0,0
T42 spring 2016,T42,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
T43 spring 2016,T43,4/29/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
D108 spring 2014,D108,5/1/14,2014,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,Y,-16.21,11.44,3.343112322,1.859698747,0.764899269,NA,NA,NA
D704 spring 2016,D704,4/29/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,Y,-12.56,11.25,4.603791915,NA,NA,0,0,0
D118 spring 2014,D118,5/2/14,2014,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,-11.47,13.13,6.724715607,NA,NA,NA,NA,NA
D152 spring 2016,D152,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,-13.12,10.62,3.86998708,NA,NA,0,1,0
K115 spring 2015,K115,4/23/15,2015,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,-15.8,12.75,4.711284326,NA,NA,0,0,0
D107 spring 2014,D107,5/1/14,2014,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,N,-10.63,10.14,4.563737503,-0.893494344,0.769971724,NA,NA,NA
D705 spring 2016,D705,4/29/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,-9.57,11.07,5.968400121,NA,NA,1,1,1
D149 spring 2015,D149,4/23/15,2015,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,-14.05,11.08,4.29121195,NA,NA,0,1,0
D706 spring 2016,D706,4/29/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,F,A,N,-14,12.69,5.573957302,0.418550845,1.36120697,0,1,0
D130 spring 2016,D130,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,M,A,Y,-14.3,12.79,5.470740352,NA,NA,0,1,0
T41 spring 2016,T41,4/27/16,2016,OW2,Orange Walk,Belize,OW,high,28.59884283,11,-88.654444,17.7525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
